Date,Raid,Boss,Loot,Player,Loot Category,How Decided,Loot Number
2/15/2020,BWL,Razorgore,Stormrage Bracers,Atloy,T2,Loot Council,1
2/15/2020,BWL,Razorgore,Netherwind Bindings,Zandith,T2,Loot Council,2
2/15/2020,BWL,Razorgore,Spineshatter,Vio,,Roll,3
2/15/2020,BWL,Vaelastraz,Waistband of Wrath,Likedaboss,T2,Loot Council,4
2/15/2020,BWL,Vaelastraz,Helm of Endless Rage,Vaeviktis,Big Loot,Loot Council,5
2/15/2020,BWL,Vaelastraz,Netherwind Belt,Mesothelioma,T2,Roll,6
2/16/2020,BWL,Broodlord,Bracers of Arcane Accuracy,Bankky,Big Loot,Loot Council,7
2/16/2020,BWL,Broodlord,Nemesis Boots,Nopa,T2,Loot Council,8
2/16/2020,BWL,Broodlord,Greaves of Ten Storms,Maulzy,T2,Loot Council,9
2/22/2020,BWL,Razorgore,Stormrage Bracers,Kreation,T2,Loot Council,10
2/22/2020,BWL,Razorgore,Netherwind Bindings,Wasian,T2,Loot Council,11
2/22/2020,BWL,Razorgore,Arcane Infused Gem,Ffxivsux,,Roll,12
2/22/2020,BWL,Vaelastraz,Netherwind Belt,Aoegrinder,T2,Roll,13
2/22/2020,BWL,Vaelastraz,Netherwind Belt,Zandith,T2,Roll,14
2/22/2020,BWL,Vaelastraz,Rune of Metamorphosis,Mke,,Loot Council,15
2/22/2020,BWL,Trash,Draconic Maul,Mke,,Loot Council,16
2/22/2020,BWL,Broodlord,Dragonstalker's Greaves,Vorrosh,T2,Loot Council,17
2/22/2020,BWL,Broodlord,Netherwind Boots,Aoegrinder,T2,Loot Council,18
2/22/2020,BWL,Broodlord,Black Brood Pauldrons,Fiveredstars,,Roll,19
2/22/2020,BWL,Firemaw,Gauntlets of Wrath,Sambro,T2,Loot Council,20
2/22/2020,BWL,Firemaw,Natural Alignment Crystal,Maulzy,,Roll,21
2/22/2020,BWL,Trash,Doom's Edge,Incelman,Big Loot,Loot Council,22
2/22/2020,BWL,Ebonroc,Aegis of Preservation,Scartissue,,Roll,23
2/22/2020,BWL,Ebonroc,Shadowing Focus Staff,Angrysnape,,Loot Council,24
2/22/2020,BWL,Flamegor,Rejuvenating Gem,Izeliaog,Big Loot,Loot Council,25
2/22/2020,BWL,Flamegor,Circle of Applied Force,Mke,,Loot Council,26
2/23/2020,BWL,Chromaggus,Elementium Threaded Cloak,Tombrocow,Big Loot,Loot Council,27
2/23/2020,BWL,Chromaggus,Taut Dragonhide Shoulderpads,Tombrocow,Big Loot,Loot Council,28
2/23/2020,BWL,Chromaggus,Bloodfang Spaulders,Jmills,T2,Loot Council,29
2/23/2020,BWL,Chromaggus,Epaulets of Ten Storms,Mnite,T2,Loot Council,30
2/23/2020,BWL,Nefarian,Ashkandi,Ffxivsux,Big Loot,Loot Council,31
2/23/2020,BWL,Nefarian,Cloak of the Brood Lord,Zandith,Big Loot,Loot Council,32
2/23/2020,BWL,Nefarian,Netherwind Robes,Shredcruz,T2,Roll,33
2/23/2020,BWL,Nefarian,Nemesis Robes,Angrysnape,T2,Loot Council,34
2/23/2020,BWL,Nefarian,Head of Nefarian,Dabsbunny,,Loot Council,35
2/29/2020,BWL,Razorgore,Stormrage Bracers,Mke,T2,Loot Council,36
2/29/2020,BWL,Razorgore,Netherwind Bindings,Mesothelioma,T2,Roll,37
2/29/2020,BWL,Razorgore,The Untamed Blade,Sambro,,Roll,38
2/29/2020,BWL,Vaelastraz,Mind Quickening Gem,Mesothelioma,Big Loot,Loot Council,39
2/29/2020,BWL,Vaelastraz,Bloodfang Belt,Zl,T2,Loot Council,40
2/29/2020,BWL,Vaelastraz,Stormrage Belt,Atloy,T2,Loot Council,41
2/29/2020,BWL,Trash,Draconic Maul,Fiveredstars,,Roll,42
2/29/2020,BWL,Broodlord,Black Brood Pauldrons,Steroidz,,Loot Council,43
